time,date,animal_price_53,citrus_pulp,corn_grain,soybean_meal,urea,ammonium_sulfate_50kg,ammonium_sulfate_1ton,boi_magro,calcium_phosphate,calf,cal_hidratada_8kg,cal_hidratada_20kg,cottonseed_meal_25kg,cottonseed_meal_28pb_50kg,cottonseed_whole,nucleo_mineral,soybean_hulls,sugarcane_bagasse,wheat_meal_0pb_40kg,wheat_meal_12pb_40kg,wheat_meal_14pb_30kg,wheat_meal_14pb_40kg
160,nov/17,5.189583333,0.298,0.5175,0.9989665,2.182,1.5,1.073333333,1841.46,1000,1200,1.11875,0.4772,1000,1.04,1000,3.8,1000,1000,0.95,1000,0.766666667,0.875
161,dez/17,5.345232091,0.301998,0.527666667,1.051811579,2.448,1.4,1.04,1884.49,1000,1138.55,1.11875,0.461833333,1000,1,1000,3.32,1000,0.080249395,0.95,1000,0.633333333,0.875
162,jan/18,5.393101326,0.351998,0.5335,1.004878182,2.448,1.5,0.97,1862.48,1000,1166.42,1.125,0.464166667,1000,1,1000,3.32,1000,1000,0.95,1000,0.766666667,0.875
163,fev/18,5.340281636,0.337998,0.5625,1.115872222,2.448,1.5,1.025,1812.78,1000,1214.69,1.125,0.4789,1000,1,1000,1000,1000,1000,0.75,1000,0.733333333,0.75
164,mar/18,5.329532077,0.431998,0.675666667,1.211719524,2.4834,1.5,1.1,1816.9,1000,1197.42,1.11875,0.464416667,1000,1,1000,3.32,1000,1000,0.75,1000,0.733333333,0.75
165,abr/18,5.269065807,0.45,0.6545,1.292722857,2.4834,1.5,1.1,1893.23,1000,1206.9,1.11875,0.473,1000,1.04,1000,3.32,1000,0.072265093,0.825,1000,0.633333333,0.75
166,mai/18,5.174510582,0.518998,0.700833333,1.396711905,2.4834,1.5,1.175,1730.05,1000,1224.25,1.11875,0.4645,1000,1000,1000,3.32,1000,1000,1000,1000,0.766666667,0.75
167,jun/18,5.098533399,0.53,0.6645,1.396372381,2.592,1.6,1.26,1802.85,1000,1217.82,1.24375,0.472833333,1000,1000,1000,3.32,1000,1000,1000,1000,0.966666667,0.75
168,jul/18,5.287118056,0.519,0.61,1.348773182,2.599,1.7,1.25,1893.34,1000,1148,1000,0.522375,1000,1.24,1000,3.32,1000,1000,1.175,1000,0.966666667,1.05
169,ago/18,5.401215278,0.5656,0.674166667,1.340918696,2.723,1.7,1.275,1874.72,1000,1180.95,1.11875,0.5047,1000,1.28,1000,1000,1000,1000,1.2,1000,1000,1.075
170,set/18,5.523243148,0.52,0.659833333,1.374304211,2.723,1.8,1.48,1841.98,1000,1230.22,1000,0.528625,1000,1.28,1000,3.32,1000,0.06816796,1.2,1000,1000,1000
171,out/18,5.399375,0.518,0.595666667,1.312913636,3.057,1.8,1.415,1838.23,1000,1197.78,1.11875,0.5124,1000,1.28,1000,1000,1000,1000,1.2,1000,1000,1000
172,nov/18,5.344984568,0.51,0.596666667,1.266354,2.8252,1.8,1.3,1895.36,1000,1240.54,1.11875,0.5264,1000,1.3,1000,3.32,1000,1000,1.2,1000,1000,1000
173,dez/18,5.52839892,0.528,0.615,1.248308889,2.8252,2,1.325,1871.98,1000,1285.34,1000,0.59,1000,1.3,1000,1000,1000,1000,1.2,1000,1000,1000
174,jan/19,5.60306029,0.53496,0.632333333,1.246311364,2.955,2,1.35,1815.38,1000,1301.93,1.11875,0.5434,1000,1.3,1000,1000,1000,1000,1.2,1000,1000,1000
175,fev/19,5.523491512,0.55396,0.665166667,1.2095675,2.955,2,1.4,1950.01,1000,1299.93,1000,1000,1000,1.3,1000,1000,1000,1000,1.2,1000,0.933333333,1000
176,mar/19,5.587083333,0.6,0.649166667,1.171756316,2.955,2,1.3,1923.32,1000,1278.86,1000,1000,1000,1.3,1000,1000,1000,1000,1.2,1000,0.933333333,0.95
177,abr/19,5.789250992,0.62992,0.5945,1.135670476,2.955,1.8,1.225,2030.81,1000,1318.12,1000,1000,1000,1.3,1000,1000,1000,1000,1.25,1000,0.933333333,0.95
178,mai/19,5.621964962,0.418,0.571333333,1.171250455,2.9438,1.9,1.25,1914.32,1000,1378.46,1000,1000,1000,1.3,1000,1000,1000,1000,1.25,1000,0.933333333,1000
179,jun/19,5.580550347,0.405,0.624833333,1.244896842,2.8348,1.59,1.225,2018.31,1000,1346.88,1000,1000,1000,1.24,1000,1000,1000,0.06396012,1.1,1000,0.933333333,1000
180,jul/19,5.645972222,0.398998,0.608,1.208797391,2.7368,1.8,1.175,2000.99,1000,1356.17,1000,1000,1000,1.24,1000,1000,1000,1000,1.1,1000,0.933333333,0.725
181,ago/19,5.76375,0.413998,0.598833333,1.220102727,2.7368,1.8,1.125,2035.29,1000,1376.16,1000,1000,1000,1.24,1000,1000,1000,1000,1.1,1000,0.933333333,0.75
182,set/19,5.8796875,0.415998,0.617333333,1.26117,2.476,1.719,1.15,2093.45,1000,1402.84,1000,1000,1000,1.26,1000,1000,1000,1000,1.225,1000,0.933333333,0.75
183,out/19,6.008746981,0.442,0.680333333,1.239156522,2.5206,1.56,1.29,2089.25,1000,1443.59,1000,1000,1000,1.28,1000,1000,1000,0.067022772,1.225,1000,0.933333333,0.75
184,nov/19,7.403621528,0.481,0.724229167,1.291912,2.5206,1.68,1.235,2156.27,1000,1566.17,1000,1000,1000,1.28,1000,1000,1000,1000,1.15,1000,0.933333333,0.825
185,dez/19,7.933130787,0.535,0.789,1.347417895,2.596,1.65,1000,2771.95,1000,1677.11,1000,1000,1000,1.28,1000,1000,1000,1000,1.15,1000,0.866666667,0.75
186,jan/20,1000,0.6,1000,1000,2.596,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
